cert,report_pages,target_pages
088504703b9eedc1,17,80
088da17ced3355f3,13,65
089729431ce18e2e,27,60
08ad3dc6cf1611e8,35,40
08b09322ee9df0af,18,33
08b5461bd117a9bd,17,71
08bff656ff61e949,16,100
08c2406ab43bd2a4,36,80
08d2812a642a374f,24,59
08d4ebc319165c3f,30,68
08d88181c877c19b,17,47
08e7835ada5a27bc,42,94
08e892fc32b0579f,2,50
0901a6c4014bdbb4,25,131
09111ab95eba8e8b,12,57
0918662ca22951e0,30,44
09220515a7edf3f9,37,164
0930152461c14463,18,102
0935a30b034b8ffd,42,94
094f7066fad12cb0,32,38
09679c3765a83e64,28,166
096b05114ee5e09f,16,57
096ccb6bcb3d2731,40,86
0977a06f0d785b74,36,84
0995361f60e5fdd5,12,63
09963e79b21cde12,20,42
09a82a6d23fdd3aa,11,124
09b07fbbb24e1b04,18,118
09b1192474bc8b27,20,141
09b17cb9b3c8b1bb,14,61
09b43147f1307352,27,64
09be49631855ae19,38,70
09c97bb07b943fc5,16,50
09ee640569acc598,16,69
09f539aedefa9756,17,39
0a09d90e8b6e5c38,21,81
0a117ebd82bdfb0c,23,72
0a1601b0d330efe1,17,43
0a215584ecf79300,17,71
0a3793d207c47790,14,61
0a6525cdbeb38df6,19,80
0a6e50445a906052,30,144
0aad0176e35b3749,38,36
0ab0a38e6205afd6,15,34
0ac0120f667a8dcf,44,78
0ac12b0e1d4e77c8,12,20
0ad64ca74851e5e3,16,32
0adbded2df213f16,19,89
0b0648a9b9a26747,16,59
0b2146b4598956a2,17,41
0b3ba93906865003,11,62
0b3e1cdf3ef9413d,16,109
0b40a8e62d96383b,24,55
0b494b3a447bfc50,21,87
0b8cf410c4ead93e,12,45
0b9903713cb8bb19,20,156
0b991f1494f00846,16,40
0b9da9216d117327,22,94
0baac042dac42abc,13,121
0bb56716a1fbef1e,16,53
0bb8db5e9474ab52,35,86
0bd651fcbb86f2a9,13,77
0bd759633c0ceec6,17,55
0bdddda081686ea3,25,102
0bdfceeac9994d70,17,65
0bf7a19b22163465,16,54
0bfc750912e794fa,13,57
0c0d36cde8403eca,40,94
0c12bb0ab9a3316b,18,98
0c207a52389702e7,36,91
0c2a1595a485eb2b,19,59
0c3a99f2fc170edb,16,58
0c3ff6669dcf6968,22,89
0c46a6388d66de51,36,88
0c4e4846b0421664,37,138
0c5a0893bb4f17dc,15,79
0c76c4cdbb8ee42d,41,43
0c7ef6c32cbdee47,25,74
0c917fe0094163e8,29,77
0c9e215997d96f44,17,90
0cb80431100b4bd4,13,51
0cbcee9f1cde47a8,17,95
0cccd2e4515b67b0,13,88
0cd406e7c5013b74,58,155
0cd71c55d25f8e76,15,51
0ce083454814c1ba,33,62
0ce1d9b9a5714d8b,30,87
0ce2148736fc9e14,14,60
0cee406ea48f4fa1,50,63
0cf98690ba05ef68,35,71
0d08a211bd29f963,16,61
0d0fbcf4d9637f09,16,114
0d164fb0d72dfa00,16,71
0d2730471dad6fc9,17,47
0d2cab8061464438,12,90
0d33e68859fe5b33,13,65
0d383bada5d4e40d,11,50
0d3fbaed08d668e2,25,130
0d411ee213361553,24,90
0d4a95a8b52b787b,19,162
0d601a71b7bce126,23,85
0d61416f2e70a03a,22,42
0d6a11b48311a737,20,49
0d720574848d96cc,31,93
0d730f18ae9d5694,40,69
0d77936727b14c88,36,70
0d94556c4f9d05ad,16,50
0d94814998946702,25,83
0da9d81c9f563df5,36,67
0dc3f1bdc153c092,15,97
0dc53ac916660b90,15,112
0dcc691ea04d1b52,15,39
0dd55c93bb23f61a,18,60
0e0de6dcefae615d,16,55
0e22fe4e4e58faf4,33,155
0e26c830225d7d49,14,60
0e56fc7d012476c6,21,61
0e6831d154fd9031,24,43
0ea6796582fa5732,17,108
0eade45a4692d681,17,55
0eb23aceb068a36e,36,34
0ebcca2d3636ce0c,25,46
0ed8272693d8a419,31,45
0ee132dec087b772,19,133
0eefe40a0baa2971,52,48
0ef56cba2362e463,13,58
0efe2627f1ce8ac2,16,47
0eff4063e68d7cd6,36,72
0f040d1ec658b8a5,38,106
0f09c493d9f91467,1,0
0f1881032ce00626,15,68
0f1b31ac93459d1f,38,56
0f1bd208c27d202c,34,74
0f2c40784b7dbb37,34,53
0f3295c420339dd2,16,69
0f3900cdcd0c7f3e,11,43
0f4e5b4d3ba06fee,19,90
0f53257eb74bee54,36,107
0f56fb77c6f0f987,30,64
0f605e8948fdf8ca,33,161
0f684159ad31f883,38,55
0f6c8bde7c6574e3,24,25
0f7ce013d15f6ff5,24,61
0f9468a2e263d3a3,13,113
0fc32111e368dcf5,11,29
0fcda819767f01d7,18,0
0fd11caa32a87e04,14,74
0fe0bb1054f49b7f,14,35
0fe8df0e85116b61,18,90
0ff82b1cc24b3105,50,112
0ff9337564f4f742,21,73
10067f25525d47aa,38,93
100b782d799d7187,30,54
10107b83e7393c50,19,111
10121fa1b66acd21,21,55
101a8fb05d6fdeb9,22,52
10229cdd92c1989f,24,56
10233188161519ee,17,84
102707a8c4d8a1b0,18,93
102bbdfcd696d7a9,19,111
10339846e519597c,16,79
1049cb82a8ad12b2,16,61
1056759707c9dc4b,36,82
10676bacc6d47b14,18,75
106928b01fde91a6,17,76
106c36e57098194c,20,31
107c348f4ba0a41c,39,385
10868774b23c5730,18,39
1088e89ae79e21be,13,42
108ecae3eb218e4a,23,95
1092b91c4d853106,20,47
109eb2158ca6a2f9,38,74
10af4a6378d0fb7a,20,89
10b17081dd7cad8f,16,55
10b56ff98683634f,17,56
10bd8859783d8ba8,17,56
10c44e0ee2d7216a,27,58
10d135ab24eab5a8,13,63
10dc636e9da3e1b6,15,37
10f0131bc69b3e57,16,58
10f1399a27470345,25,154
10f68581b43856d0,16,100
11101d34adf1e03c,17,96
11162192b8001047,23,47
111f86b5db181807,35,42
1123d3a2653e7711,18,77
112ddf93c0d89a73,36,56
112fe9f123e277ee,18,74
11411b5c9592d2ba,18,28
1146f81a400cc689,15,89
114e39b4da949e6d,17,135
114f8483014391bf,33,119
115b0116abadb22a,18,15
115d5f981c036e43,21,52
11687f8008b8198d,16,50
11708925f70ce5d3,25,66
1172a88e009dc248,24,61
118719c175318b79,19,42
1188aebd8681e4fe,17,89
11a2196b49154565,18,72
11a73a5b4bff867e,25,49
11a80ea8c324bbcf,21,41
11a98c5d5ff6f40f,18,62
11b87b3fbf6afa07,13,92
11da78fd2ed8924b,22,75
11e766816387bbc1,17,48
11ef0bca89e95558,17,66
1202f4e4a548c42e,17,103
120a49c0aa284f68,36,127
121e2fe3c5eef5cb,40,47
122245dd15683e26,16,75
1238ef850871c077,36,114
123c94418ddf1ad8,44,90
123fd4f61dfd7c2b,38,94
124272e23ec6ac09,17,65
129481739aabc8df,18,86
12b71c70dc9d0745,16,66
12b859326d482f3c,16,62
12b952020b22857c,42,66
12c3b8b612c581cb,18,87
12e20466a0f08342,16,55
12fd6b1b6c4aecf3,13,181
131cd9abf2ecf112,19,94
131ec924c42ef90b,15,73
131f67a45cd91c49,20,111
13292b25f8b84519,17,29
1341386c10f8f586,21,45
134a3ce1e18da393,24,65
1357546ec01b1a65,38,61
135ca3602f0005bf,17,77
136d8ba21fa9c26d,15,63
136e199565b2d942,16,22
136e93a49a951923,19,74
1380f694ee542194,17,71
1388e23371d5ff4d,15,46
13957beed11157d0,29,81
13a92431f9683226,17,93
13aa4fffa5ebbf1d,13,104
13bb830c9f8a90ab,16,63
13c393fa406a72cb,46,118
13c3c43841adf547,17,45
13cfebff051fd46c,18,77
13d2556ef392ed41,29,170
13d4c790c1c08e4a,23,64
13d95239226aa537,34,76
13da66c1d4719bbb,20,93
13e306eb69c8bf95,22,87
13e3c6a0cd06ecf6,14,54
13e5b88ad3becb77,50,46
13f440fa8fd868e4,28,38
1416afc51d8ce022,30,75
141b99fabc179550,22,87
1420a8b7e8fb87a8,24,110
14287a88695e989e,26,61
144d4439a0c13ecc,21,57
144fa5b57cf22204,22,56
1468948b4f0509ab,23,62
147e8bcc82b58499,24,34
1491021aa321b828,17,93
1494cff85b3dc2bb,22,68
149a051d3784c7a4,25,57
14b5a3a574c90154,16,105
14cd2ded95104842,23,165
14d1c998f31e8898,14,76
14ddeb255e0a1cd2,13,57
14df54305cad83b4,36,156
14e053dfe9057aa8,13,95
14e28608791e4a82,20,86
14f311e3c900153c,42,88
14f48813c3ee85f4,19,71
15064b3bfc03bb0d,32,71
1520a51836bd5c57,16,33
15218dc574b0556e,13,102
1522f5cecb18c3bb,36,54
153ff66a6d5b83f2,25,48
15402601a56c682d,20,61
156274d17490c213,13,39
1567ee9493184ba2,21,68
157b741a0f529a0a,16,48
157f811757a0b29e,38,68
158950ed4bc35274,21,50
15aa7d8b536d2091,38,82
15ac82a8b1b53436,23,46
15ae64b85b3e28d7,34,46
15b121492722bffb,40,100
15bfdd9a3f21d0f7,17,79
15d68159595eae09,31,112
15d935e36152eb15,19,110
15ee7651b7ad610c,16,134
15f91509dd386510,15,45
15fae84c1e6c6c57,34,0
160f5ccfe39ac076,24,85
161216fcc9eb8d34,52,150
16229c97ce083e8c,26,69
1634a9557160fb4f,15,78
1642e1266a24c0cc,38,63
164b88d74f13415f,16,38
16513a1bff79b46a,33,154
1657515edd068cd6,26,58
165e24e31b086124,32,29
1675828cce75140b,19,89
167ed26aa5bc8193,11,22
1681e7b35fd0cbf9,16,69
1683817e5db17d9c,1,0
16abf8ee0697e64f,19,84
16ae059d5a1ea1bf,29,23
16b0a0811bc4fe82,16,49
16b24ff1bf3c079b,18,57
16ba6dab2c5c4b13,20,30
16bdbde359584f99,25,82
16c7b43830bbd7eb,25,33
16d9db50184566cd,14,34
16f1a518cd842fcb,20,97
17006cbc914ff7e1,14,43
172856c5954d49f3,19,31
173097995b7a7f12,19,133
1732fe97a6df6c1c,18,94
17366767fb2ef573,15,124
173704f0d2b8a02f,16,180
1737cc5fdc5be07f,15,187
1754df1f2e3d5adb,22,60
175fb27ed3f07cc5,44,0
17607d6e8c79fe05,20,44
1763f7f598348a3f,28,27
176f8a7c95a99030,19,106
177dee4c1051e612,40,52
1783abbe873fb8be,42,94
17900aa6cadfbc70,40,103
17971f10643983c5,33,166
17a23970b35a4f44,24,93
17a34d8284d0b7fd,15,25
17b5257b3755a07c,16,95
17b5ba3926e71195,17,101
17bfc3d0570ab3d0,16,174
17db59773f1fc1d9,21,23
17dd55335aee4ded,31,67
17e8f8a5a131b9b2,18,51
17ecb3af1ad76f5e,24,89
17f10a95c321e243,30,62
17fdcf858bc8e4b6,27,37
17fec29cf14f4456,31,58
181505e41ec4d5c2,36,89
1816ddecd7432cf9,24,125
1819616b836c8ccc,24,43
1820a5cca9ebb501,32,70
183a5cd3e2aaa0ec,17,54
1855eee8afdd9f39,26,68
185aa4f76ff15d62,25,86
1860965fb8a99350,26,42
187d237ce11c036e,34,121
188d3cda4e6f2d5d,27,113
18a515a0fff0c0c3,26,133
18b7e5bdf459ca13,18,129
18bb29b147e80caa,16,69
18c76e49d96ffb59,18,62
18d11694e405a950,18,107
18e5179ba124af1d,19,62
18e68a485e648ddc,20,118
18f0fe2bf1cc9de0,14,46
19153183fc99f5d6,18,62
193cd13c364a0401,16,62
194eead637f49120,1,0
195366bfba7213a5,40,62
19636c8c880ea711,37,103
1999d4ed82b3188e,19,52
19a238bfe5311441,15,75
19bad76bb080b983,17,61
19c60923e31777e7,16,135
19c7a1b1a2df87d7,13,196
19d14dec2d11fd96,60,300
19d3185c40be008d,16,109
19eddd8a1c4f9dd0,18,49
19f06ccd7136a2b4,32,61
1a191f3535ccaea3,19,52
1a21571e420c2a62,24,47
1a277fc6932333d4,14,63
1a27e38bd8df6232,20,42
1a52d9316fc9be4a,15,152
1a56318485c3264a,30,74
1a567cca7d817424,32,64
1a5f86cb1d942c37,38,169
1a6298752a63d399,25,133
1a95d138ccc7814a,24,0
1a9b1d6682ecdd1e,37,82
1ac8de53c0894d18,42,58
1b091cdae5b0e86c,26,53
1b0a6ecee1f830fc,20,177
1b20b1629ba7d3a6,28,150
1b214141705f3549,15,55
1b2764a62ffe86a2,17,87
1b5a04adf5047f67,17,89
1b71508a0007113e,15,41
1b74c9c96976e410,18,93
1b797b27b981aafe,18,97
1b8705a0486b3be1,11,27
1b8a26b01a836cd9,13,47
1b8d3fb7ae91b283,15,68
1ba110eb665a0907,27,49
1bb3da30bc8f4750,16,59
1bb49ac0d6f7944d,15,64
1bcac3b368582ae1,25,57
1bcfaefe46abccf0,14,61
1c34d31598257da8,25,71
1c4127f542a671ba,31,150
1c423f2217de55e2,16,68
1c4ba715fd7b4ea5,18,63
1c5a53365e6b11fd,32,81
1c5cdcb335d49c76,30,77
1c5deb472a197eb6,15,45
1c6ef991a6cf178a,18,35
1c7087cf1e7ad810,17,17
1c763ccb13233ba7,14,74
1c7c129a5cddfd46,22,67
1c8567a1b1a6c12a,13,151
1c99336eb9759f50,22,57
1c9bd4db3d8388f7,19,79
1c9ec6b1d3d1b1e5,36,84
1ca9b79a98ef45fa,38,93
1cb63a13bf4c58ff,49,85
1cc05dbb992431b9,15,178
1ce7568df8596518,16,86
1cf2a801339b61a4,12,50
1d1df0fb541e49b8,40,60
1d21fd072dcbb7ad,19,24
1d3088ebcefd14d9,20,56
1d38eb8be05c166a,22,96
1d4dd85c21fa4c86,15,52
1d52fc90c62163f9,18,93
1d72179702fcf8be,16,22
1d800e909e6141d4,23,60
1d89cece70c6cb64,32,71
1d90994ecd319339,25,50
1d9ae732c5dec242,18,47
1d9fad1e57059c5d,29,66
1dc0f4bd538348d7,12,128
1dccd7f4a12d6ee1,11,24
1dccfd4765c150f7,26,29
1dd5e43df931ec24,10,32
1dd7f4bf2e677073,17,67
1ded333854414398,17,69
1df64ea5e2982d04,23,54
1df928dc81d0677c,36,48
1e21fe5959ff60f7,18,43
1e23ae421d7a2d01,36,78
1e2d23c2f8ac8983,19,41
1e334ca7ea36af97,29,42
1e3b2b64340476ba,39,104
1e40bd733acd56bc,23,113
1e545ff455f7ea5d,39,78
1e58fd6b31d72e2a,34,43
1e5d8721adb66043,20,56
1e64e6e1d06efd28,20,99
1e67ac419bd3e8f0,20,22
1e7b90184a127017,55,123
1e91595cd5e7fece,27,85
1ea31bb5f6a15995,36,70
1ea3de20c82f03c5,12,55
1ea4a3582f28b983,18,69
1eabf957a9401fab,40,81
1ed68848ca0ad36e,48,90
1ee7ecee9e7e131c,18,145
1ee8a6a4d8f26d65,16,79
1ee9eca97f34ccfb,34,86
1f061d2b3f2e51d1,18,106
1f0b0307a448fa05,15,40
1f10af21b5edd344,19,72
1f1bf8d72bf4a631,31,91
1f2cd234cd21c93c,22,57
1f30f0cc58416fa2,12,83
1f6dd597bd318949,35,96
1f9f4b843070fc1b,12,45
1fa2284c3dcf136a,36,32
1fa9ef0981612ec5,21,75
1faf7bf1f74a1851,12,69
1fb1564dfb0f0b04,13,73
1fb95703e4e12a49,14,60
1fbd82dc1f2140a9,19,23
1fbea7d1caa48937,18,58
1fc0ca24ec0366e5,20,40
1fc3c3c2733265d7,14,74
1fcb0d0361829498,26,70
1fdb4658c8a6fe6e,19,48
1ff08f79cb89c1de,42,86
1ff5d648a625f3c7,30,101
2002899a25479db1,37,61
205dba83d0a6e46c,14,49
206662b82595265b,28,0
2078424be58e4db1,30,131
20874d4fa6e4c878,13,86
209e2d18e1fa0cca,18,55
20a382af36081fdc,19,55
20c98a49ea86a519,57,64
20f32ee9a18c296b,16,61
20f3c68a48518839,24,135
20f851314c4f57d9,20,27
2103cad61497a8d4,49,105
212887e69757dd79,23,41
21373060a437bee9,13,60
2144ddccac3e86a2,18,53
216b16b81a34d0c3,35,64
2172f8a2c15516d3,42,67
21951e191e55b66e,14,80
21a1deda31c3e213,18,119
21bb268de6bb9869,22,66
21bf0fab91f247c4,18,76
21c3236216f620ff,38,170
21cffadbbb87c205,22,40
21d5f1b05e1ba491,1,0
21d6bb474b24cf9f,22,81
21d6eff0bfe3971f,13,42
21d71bac070403e0,18,73
21e2d0a66c934bd6,26,86
21f23f5e8c270deb,17,174
21f9f3439626d7e6,22,55
22066b781cc7d1b0,38,85
221d3cd5fd8217a8,19,67
22388445fe620ac0,18,67
224381612c603e21,15,54
2254898e7754ce50,17,62
22610e0b37001f33,55,56
22617e916bad6f53,14,62
226d2665d07992ca,16,46
227b543f7df4e9ca,24,91
22843e80e1e0c5d2,17,47
2293f114774003bc,22,42
229489ffcdb39889,15,68
22a21e48612ad36e,23,36
22ab9917266db537,32,70
22c978def3d2f840,18,102
22d6578b30f5a227,15,69
22dd52fbce13f27e,21,92
22ede463dbf1a105,17,54
2327ddb634173de0,17,72
2333fd1226ed1abf,17,43
234da54efbcf734b,22,61
2354fc16f55b041c,17,54
236451289d54f38e,19,68
2370177196db42b3,23,93
237f75639a985e85,36,91
238f8edc5eda1358,50,82
23a85a7f9c07412f,20,69
23af7ea1982ce21d,18,64
23bfa1506b053d31,14,57
23c80dea6dcf1f2d,18,101
23caa2f0082ded45,22,86
23d40c6f8b79681b,1,0
23fef0d5243a0919,40,44
2401b57297a20d9c,19,42
240c6747bec4221b,14,59
242fdec5d0ed5010,17,51
243291b6c7ecde61,36,55
24363a67840112f4,31,102
243a29b98f34ae9a,19,106
243ce97487adfcc1,14,31
244991890529f8de,21,28
245b9edcaaf3ca5b,16,107
245f78711cfcb537,20,54
24610d9737c6d36d,25,72
24624a4e60ddedd4,46,126
2477ebdeb9bcf4aa,16,97
249f41125465f1c6,26,47
24bac80e3d07339c,34,86
24dd208398edbe6e,18,39
2509ad459b673ebe,17,42
250edede161d3c76,24,61
2532fe8c7214c485,38,68
253e4d53f952a882,12,43
25425df0603b7524,19,69
2544ffa2d8eef431,1,0
2564b0bf8d343787,18,60
25786ffc27305762,14,32
257cdb55ea906d5f,38,90
259df98e7476a843,38,81
259e0ab1c4b690cf,25,94
25c07c5d0a05d86c,21,61
25df98be2c57b7be,15,57
25eade3365f92578,23,64
25f41699cca103ff,36,83
25fcafd838cecd84,37,111
2600849d11a2aeb0,18,64
2606f6aa51007e00,20,68
260dcf8e265226b1,23,54
26239532b0bb529a,50,73
26351f87a8ee7708,39,73
265e2603215c857e,24,94
265e576fd3517f91,38,152
266d48875b5f921b,34,45
2674228d88c4f3d6,52,95
268595dff72078d3,21,180
26b7973a845a68d6,19,46
26bd52a95f92cc7d,19,63
26bff52135d83d5c,16,78
26c424e216bc2e36,20,55
26c4912b140fde9f,24,116
26c7b173668167d8,20,63
26f5675da0ad0cf0,26,44
27299c9f7300b52e,18,39
272c3a6d2ea588aa,22,52
2731d8ddba404fad,15,105
273ea62aabe41745,39,72
2748f920f4df8eaf,38,152
27544f52a5cb3875,37,93
2755b2c7bdb9bcac,31,91
2756e22d1bde55e1,27,59
275c53ef04959a4c,21,83
2760aeedce0b79db,19,92
276d60bb987ce9e6,14,32
27785ba6578232a1,19,60
2793414918738c7f,15,137
27b4366a0f1fcdef,32,76
27b898417acbd609,19,44
27baf39406deb767,16,55
27ccec0740bb7915,18,83
27d11629261d8806,23,97
27df2c215f80a061,36,63
27dfb6d1928adc4a,24,40
27f4a9bbc92e892e,16,124
27f91e8d4ff4a6c1,12,52
28094a71cd2a3958,16,64
280e1ca8343b9f31,26,109
280e71939b119ed9,18,80
2815fab15a40f124,13,49
281a5288a1cf1261,17,54
281fdab3b660bbcd,23,44
2841273a23c1a31e,20,62
2846be9cbaa9fd3f,13,69
284cda3cc34be53f,38,90
285720252c0dee3f,22,108
28633ac78f992ca4,18,46
287695704a721905,24,60
28819ed8f96586bc,17,63
288b191fb9ec8f44,21,72
28922ef97b2dfaa0,24,55
289ff15420cde44a,13,112
28a2b2549990a711,22,133
28a9fc2137d72ce9,28,50
28bb2a8869397c4c,38,56
28bf4e7554dff51e,36,63
28c5a30fd4464675,34,75
28e70f46ba4394dd,20,107
28f3fc6a629e1db5,31,33
28f5aff71db03c96,13,40
28fb117adbb809e3,22,52
2900206d823a1c68,14,71
290fbaf504ba29fb,14,68
293d205cb3cfbeb7,28,55
293d35fb3749487b,40,86
294ef6cb28408ec9,12,115
296618f10b019d9c,38,115
2987502efa0da905,10,60
29905976e5a0ae51,18,52
2992fa498650c45c,14,57
29b0321ec6b75ebd,14,123
29b422f039a62290,38,92
29b58db0988bcb8b,37,63
29c65bb00fb9aa6c,20,80
29cc495628e76ffa,38,95
29cead564fb2e47d,14,86
29d30c54de3bc5d3,11,52
29e885c3ba37d0e4,17,69
29ecde118608e68e,38,62
29ed81c4fc96d196,17,55
29f2dd90f57ea948,16,103
29fb07d8f74e734b,52,125
2a00bb30ef9ce6f4,22,44
2a05742d8293df73,24,49
2a07b85f61ac08b0,19,112
2a0be26664f77aa3,35,148
2a67ab3043fb1383,40,48
2a91f42389fda90d,26,80
2a91f8ad1a46aaeb,29,52
2aba7e73098ef9b9,25,135
2adb03f5294c31c2,36,55
2ae210e1116e7d39,34,68
2ae464172c2794f7,32,100
2af400ac78347a2b,25,67
2b00292b7ed0a1fc,16,55
2b0342d5b70b7a78,15,74
2b0dc2c974058384,24,48
2b12c9b417106e2e,34,63
2b1f098200b44adf,16,68
2b2dd14fee46498d,13,169
2b34b0b9b97a2f06,18,45
2b448f728aafb39e,36,91
2b604a227cbbe6c8,36,52
2b665984895290b0,9,49
2b6a2b0e304555da,29,46
2b732db0f35d710b,11,26
2b7792ace865ff65,22,23
2b7bd11f60a23fda,13,78
2b7d52d0a57a505e,15,39
2b7e081c59acf95f,29,85
2b944ab6ce8fe8e1,24,47
2ba65edf2eec0d6c,24,78
2bae9d218f2eba53,15,54
2bb4685a03857b2c,22,65
2bb96ab2cd323a08,18,108
2bd9661657e78278,18,33
2be10f342e68a89e,27,46
2bfb05dec3fb0bb3,21,88
2c02bf0c17cb16ca,14,34
2c15dfc106ebf8d8,18,51
2c1620a06cbcb5c2,16,22
2c2244c35d126bfb,36,55
2c41f9dfcd5014e6,44,130
2c4caf71ca3735a8,22,60
2c4f8c7234b66061,25,135
2c6ffeafe3c2a9c0,36,60
2c767606488e21c0,32,33
2c83bfb0573482f8,16,39
2c9179a38fe40337,13,36
2c9b0efd191fda38,22,93
2cac0e0f0553fb3d,28,111
2caeac8a5fd82cc8,23,28
2cbc543a7c7de8b5,36,75
2cbdc3160b8f0ef0,24,89
2cc05157751cc11c,23,57
2ccabb1b26514e33,13,53
2ce275ae8d35fac3,16,63
2cf14c05b367b405,38,59
2d046178aa118fff,36,72
2d05e976e1adf696,0,40
2d0b4100c3ead88a,14,78
2d0f239a7ed024ee,9,44
2d10058de0187eea,23,70
2d2ce200fea72359,17,49
2d564c34d2bc84d2,35,65
2d620f9b6d533e98,18,82
2d7d13b88db76508,12,68
2d835bff00514238,42,101
2d8972c12f7d85cb,23,34
2d9b18de8e5519ef,15,31
2da2f8ddd32d04cd,1,0
2dc23c6e3c55d2b2,31,75
2dc5f3cac1666ee3,23,40
2e14077d8d2ed82f,18,164
