dgst,referenced_cert_id,location,label,comment
9529eb793550093c,ANSSI-CC-2018/40,None,None,None
7a8d4ed693d443d7,BSI-DSZ-CC-1128-V3-2021,None,None,None
ed22d4c0f09c3e3a,BSI-DSZ-CC-0719-2011,None,None,None
ea6d47427a2bb349,BSI-DSZ-CC-0782-2012,None,None,None
ead1076787fdd7e4,BSI-DSZ-CC-0399-2007,None,None,None
30f71b100c5cebae,ANSSI-CC-2015/15,None,None,None
6eb6b29c45f6355f,BSI-DSZ-CC-0782-V4-2018,None,None,None
06e505abb8dad1b8,ANSSI-CC-2017/54,None,None,None
317713948b4473b3,BSI-DSZ-CC-0798-2012,None,None,None
055985699aee1e09,ANSSI-CC-2010/02,None,None,None
b61363e51ed90c7a,ANSSI-CC-2019/12,None,None,None
691119fe8a2f8e1c,BSI-DSZ-CC-0963-2015,None,None,None
a07548a64fac5794,BSI-DSZ-CC-0350-2007,None,None,None
19c60923e31777e7,ANSSI-CC-2017/49,None,None,None
f17fe9ceea628f62,BSI-DSZ-CC-0750-V2-2014,None,None,None
c96343baf608174d,BSI-DSZ-CC-0750-2011,None,None,None
42799014c183e1b3,BSI-DSZ-CC-0429-2007,None,None,None
3f45ee333ce457bb,BSI-DSZ-CC-1002-2018,None,None,None
5f4b39feb2a82dac,BSI-DSZ-CC-0266-2005,None,None,None
4a6100f1ddaef93b,BSI-DSZ-CC-0410-2007,None,None,None
c06d86db280f9b2b,BSI-DSZ-CC-0437-2008,None,None,None
ab3af998dff7a2ef,BSI-DSZ-CC-0973-V2-2016,None,None,None
30120e4f3aa2f30a,BSI-DSZ-CC-0897-V2-2014,None,None,None
c32378a010479b33,BSI-DSZ-CC-0891-V2-2016,None,None,None
ecba01acba8df2ec,BSI-DSZ-CC-0633-2010,None,None,None
bab97726875c0f14,BSI-DSZ-CC-0957-V2-2016,None,None,None
97d00a9f198a6e57,ANSSI-CC-2015/66,None,None,None
744a7a202d909323,ANSSI-CC-2017/24,None,None,None
df6728b8420ab3b4,BSI-DSZ-CC-0827-V4-2016,None,None,None
6f8d7a6a1dea6a3a,ANSSI-CC-2019/28,None,None,None
1b8705a0486b3be1,NSCIB-CC-0209053-CR,None,None,None
a9d336b90e8b94a2,BSI-DSZ-CC-0410-2007,None,None,None
cfdacd53c732343c,BSI-DSZ-CC-1110-V2-2019,None,None,None
27d11629261d8806,ANSSI-CC-2014/59,None,None,None
a76d1c0d9964d583,BSI-DSZ-CC-0417-2008,None,None,None
d2b0cb5a911b8ef8,BSI-DSZ-CC-0729-2011,None,None,None
c38734a9eeea0ff8,BSI-DSZ-CC-0950-V2-2018,None,None,None
84a75b6fc33b669e,ANSSI-CC-2014/08,None,None,None
36ed04f4b45e3ab9,BSI-DSZ-CC-0555-2009,None,None,None
01e8805514b4ef67,BSI-DSZ-CC-0891-V3-2018,None,None,None
0f3900cdcd0c7f3e,NSCIB-CC-66030-CR5,None,None,None
